Date,Catch the Eye,Content
"
Wednesday, 6 June 2007 - Brussels",NA,"



 14. Middle East (debate) CRE
Statements by Javier Solana, High Representative for CFSP, and by the Commission, on the Middle East.
The following spoke: Kyriacos Triantaphyllides, who condemned the detention in Israel of Palestinian parliamentarians, including the President of the Legislative Council, and called for them to be released immediately (the President pointed out that he had made such a call in the Knesset the previous week, but that there had to be goodwill on both sides).
(A large number of Members rose in a show of support, and several of them unfurled a banner echoing the call that had been made.)
Javier Solana (High Representative for CFSP) and Benita Ferrero-Waldner (Member of the Commission) made the statements.
The following spoke: José Ignacio Salafranca Sánchez-Neyra, on behalf of the PPE-DE Group, Pasqualina Napoletano, on behalf of the PSE Group, Annemie Neyts-Uyttebroeck, on behalf of the ALDE Group, Brian Crowley, on behalf of the UEN Group, David Hammerstein, on behalf of the Verts/ALE Group, Francis Wurtz, on behalf of the GUE/NGL Group, Javier Solana, Charles Tannock, Véronique De Keyser, Angelika Beer, Jana Hybášková and Béatrice Patrie.
IN THE CHAIR: Marek SIWIECVice-President
The following spoke: Margrete Auken, Elmar Brok, Proinsias De Rossa, Monika Beňová, Jamila Madeira, Benita Ferrero-Waldner and Javier Solana.
As the motions for a resolution tabled were not yet available, they would be announced in the House at a later time.
The debate closed.
Vote: forthcoming part-session in Strasbourg.

Last updated: 12 October 2007Legal notice"
"
Wednesday, 6 June 2007 - Brussels",NA,"



 15. United Nations Human Rights Council (debate) CRE
Council and Commission statements: United Nations Human Rights Council
Günter Gloser (President-in-Office of the Council) and Benita Ferrero-Waldner (Member of the Commission) made the statements.
The following spoke: Laima Liucija Andrikienė, on behalf of the PPE-DE Group, Raimon Obiols i Germà, on behalf of the PSE Group, Marios Matsakis, on behalf of the ALDE Group, Jan Tadeusz Masiel, on behalf of the UEN Group, Raül Romeva i Rueda, on behalf of the Verts/ALE Group, Eija-Riitta Korhola, Józef Pinior, Alexander Lambsdorff and Günter Gloser.
IN THE CHAIR: Mario MAUROVice-President
The following spoke: Benita Ferrero-Waldner.
Motions for a resolution to wind up the debate tabled pursuant to Rule 103(2):
- Raimon Obiols i Germà, on behalf of the PSE Group, Marios Matsakis and Marco Cappato, on behalf of the ALDE Group, Konrad Szymański, on behalf of the UEN Group, Hélène Flautre, Raül Romeva i Rueda, Milan Horáček and Jean Lambert, on behalf of the Verts/ALE Group, André Brie, Vittorio Agnoletto and Luisa Morgantini, on behalf of the GUE/NGL Group, Nils Lundgren, Hélène Goudin and Bastiaan Belder, on behalf of the IND/DEM Group, on the fifth session of the United Nations Human Rights Council (UNHRC) (B6-0234/2007)
- Laima Liucija Andrikienė and José Ignacio Salafranca Sánchez-Neyra, on behalf of the PPE-DE Group, on the fifth session of the United Nations Human Rights Council (UNHRC) (B6-0235/2007)
The debate closed.
Vote: Minutes of 07.06.2007, Item 5.17.

Last updated: 12 October 2007Legal notice"
"
Wednesday, 6 June 2007 - Brussels",NA,"



 16. Management of Europe's maritime borders - European Solidarity and protection of migrants' rights (debate) CRE
Council and Commission statements: Management of Europe's maritime borders - European Solidarity and protection of migrants' rights.
Peter Altmaier (President-in-Office of the Council) and Franco Frattini (Vice-President of the Commission) made the statements.
The following spoke: Simon Busuttil, on behalf of the PPE-DE Group, Martine Roure, on behalf of the PSE Group, Jeanine Hennis-Plasschaert, on behalf of the ALDE Group, Jean Lambert, on behalf of the Verts/ALE Group, Giusto Catania, on behalf of the GUE/NGL Group, Manfred Weber, Javier Moreno Sánchez, Ignasi Guardans Cambó, Hubert Pirker, Claudio Fava, Louis Grech, Peter Altmaier and Franco Frattini.
The debate closed.

Last updated: 12 October 2007Legal notice"
"
Wednesday, 6 June 2007 - Brussels",NA,"



 17. Prüm Treaty: cross-border cooperation in combating terrorism and cross-border crime * - Visa Information System (VIS) ***I - Consultation of the Visa Information System (VIS) * - Protection of personal data * (debate)CRE
Report on the initiative by the Kingdom of Belgium, the Republic of Bulgaria, the Federal Republic of Germany, the Kingdom of Spain, the French Republic, the Grand Duchy of Luxembourg, the Kingdom of the Netherlands, the Republic of Austria, the Republic of Slovenia, the Slovak Republic, the Italian Republic, the Republic of Finland, the Portuguese Republic, Romania and the Kingdom of Sweden on the stepping up of cross-border cooperation, particularly in combating terrorism and cross-border crime [06566/2007 - C6-0079/2007 - 2007/0804(CNS)] - Committee on Civil Liberties, Justice and Home Affairs. Rapporteur: Fausto Correia (A6-0207/2007)
Report on the proposal for a regulation of the European Parliament and of the Council concerning the Visa Information System (VIS) and the exchange of data between Member States on short stay-visas [COM(2004)0835 - C6-0004/2005 -  2004/0287(COD)] - Committee on Civil Liberties, Justice and Home Affairs. Rapporteur: Sarah Ludford (A6-0194/2007)
Report on the proposal for a Council decision concerning access for consultation of the Visa Information System (VIS) by the authorities of Member States responsible for internal security and by Europol for the purposes of the prevention, detection and investigation of terrorist offences and of other serious criminal offences [COM(2005)0600 - C6-0053/2006 -  2005/0232(CNS)] - Committee on Civil Liberties, Justice and Home Affairs. Rapporteur: Sarah Ludford (A6-0195/2007)
Report on the proposal for a Council Framework decision on the protection of personal data processed in the framework of police and judicial cooperation in criminal matters [07315/2007 - C6-0115/2007 - 2005/0202(CNS)] - Committee on Civil Liberties, Justice and Home Affairs. Rapporteur: Martine Roure (A6-0205/2007)
The following spoke: Peter Altmaier (President-in-Office of the Council) and Franco Frattini (Vice-President of the Commission).
IN THE CHAIR: Miguel Angel MARTÍNEZ MARTÍNEZVice-President
Fausto Correia introduced the report (A6-0207/2007).
° ° ° ° 
The President welcomed representatives of the 'Niños de la guerra' organisation, who had taken their seats in the visitors' gallery.
° ° ° ° 
Sarah Ludford presented the reports (A6-0194/2007 and A6-0195/2007).
Martine Roure introduced the report (A6-0205/2007).
The following spoke: Manuel Medina Ortega (draftsman of the opinion of the JURI Committee), Herbert Reul, on behalf of the PPE-DE Group, Michael Cashman, on behalf of the PSE Group, Alexander Alvaro, on behalf of the ALDE Group, Andrzej Tomasz Zapałowski, on behalf of the UEN Group, Sylvia-Yvonne Kaufmann, on behalf of the GUE/NGL Group, Gerard Batten, on behalf of the IND/DEM Group, Ewa Klamt, Stavros Lambrinidis, Adina-Ioana Vălean, Adamos Adamou, Manfred Weber, Marianne Mikko, Sophia in 't Veld, Philip Bradbourn, Panayiotis Demetriou, Carlos Coelho and Barbara Kudrycka.
IN THE CHAIR: Edward McMILLAN-SCOTTVice-President
The following spoke: Marian-Jean Marinescu and Peter Altmaier.
The debate closed.
Vote: Minutes of 07.06.2007, Item 5.9, Minutes of 07.06.2007, Item 5.10, Minutes of 07.06.2007, Item 5.11 and Minutes of 07.06.2007, Item 5.12.

Last updated: 12 October 2007Legal notice"
"
Wednesday, 6 June 2007 - Brussels",NA,"



 19. The social status of artists (debate)CRE
Report on the social status of artists [ 2006/2249(INI)] - Committee on Culture and Education. Rapporteur: Claire Gibault (A6-0199/2007)
Nathalie Griesbeck, deputising for the rapporteur, introduced the report.
Ján Figeľ (Member of the Commission) spoke.
The following spoke: Erna Hennicot-Schoepges, on behalf of the PPE-DE Group, Gyula Hegyi, on behalf of the PSE Group, Alfonso Andria, on behalf of the ALDE Group, Zdzisław Zbigniew Podkański, on behalf of the UEN Group, Thomas Wise, on behalf of the IND/DEM Group, Eugen Mihăescu, on behalf of the ITS Group, Manolis Mavrommatis, Maria Badia i Cutchet, Ljudmila Novak, Doris Pack, Ovidiu Victor Ganţ, Carlo Fatuzzo and Ján Figeľ.
The debate closed.
Vote: Minutes of 07.06.2007, Item 5.18.

Last updated: 12 October 2007Legal notice"
"
Wednesday, 6 June 2007 - Brussels",NA,"



 20. Baltic Sea cod * (debate)CRE
Report on the proposal for a Council regulation establishing a multi-annual plan for the cod stocks in the Baltic Sea and the fisheries exploiting those stocks [COM(2006)0411 - C6-0281/2006 -  2006/0134(CNS)] - Committee on Fisheries. Rapporteur: Zdzisław Kazimierz Chmielewski (A6-0163/2007)
Joe Borg (Member of the Commission) spoke.
Zdzisław Kazimierz Chmielewski introduced the report.
The following spoke: Christofer Fjellner (draftsman of the opinion of the ENVI Committee), Heinz Kindermann, on behalf of the PSE Group, Hélène Goudin, on behalf of the IND/DEM Group, and Åsa Westlund.
IN THE CHAIR: Adam BIELANVice-President
The following spoke: Andres Tarand and Joe Borg.
The debate closed.
Vote: Minutes of 07.06.2007, Item 5.13.

Last updated: 12 October 2007Legal notice"
"
Wednesday, 6 June 2007 - Brussels",NA,"



 21. Draft estimates of the European Parliament for 2008 (debate)CRE
Report on Parliament's estimates of revenue and expenditure for the financial year 2008 [2007/2018(BUD)] - Committee on Budgets. Rapporteur: Ville Itälä (A6-0202/2007)
Ville Itälä introduced the report.
The following spoke: Monica Maria Iacob-Ridzi, on behalf of the PPE-DE Group, Vladimír Maňka, on behalf of the PSE Group, Anne E. Jensen, on behalf of the ALDE Group, Petre Popeangă, on behalf of the ITS Group, Sergej Kozlík, Non-attached Member, Ingeborg Gräßle, Paulo Casaca, Nathalie Griesbeck, Hans-Peter Martin, Paul Rübig, Szabolcs Fazakas, Mairead McGuinness and Silvia-Adriana Ţicău.
The debate closed.
Vote: Minutes of 07.06.2007, Item 5.19.

Last updated: 12 October 2007Legal notice"
"
Wednesday, 6 June 2007 - Brussels",NA,"



 22. Specific rules as regards the fruit and vegetable sector * (debate)CRE
Report on the proposal for a Council regulation laying down specific rules as regards the fruit and vegetable sector and amending certain Regulations [COM(2007)0017 - C6-0075/2007 - 2007/0012(CNS)] - Committee on Agriculture and Rural Development. Rapporteur: María Isabel Salinas García (A6-0183/2007)
Mariann Fischer Boel (Member of the Commission) spoke.
María Isabel Salinas García introduced the report.
The following spoke: Esther Herranz García, on behalf of the PPE-DE Group, Bogdan Golik, on behalf of the PSE Group, Jan Mulder, on behalf of the ALDE Group, Janusz Wojciechowski, on behalf of the UEN Group, Vincenzo Aita, on behalf of the GUE/NGL Group, Peter Baco, Non-attached Member, Agnes Schierhuber, Katerina Batzeli, Danutė Budreikaitė, Zdzisław Zbigniew Podkański, Ioannis Gklavakis, Csaba Sándor Tabajdi, Leopold Józef Rutowicz, Czesław Adam Siekierski, Luis Manuel Capoulas Santos, Zbigniew Krzysztof Kuźmiuk, James Nicholson, Mairead McGuinness and Mariann Fischer Boel.
The debate closed.
Vote: Minutes of 07.06.2007, Item 5.14.

Last updated: 12 October 2007Legal notice"
"
Thursday, 24 May 2007 - Strasbourg",NA,"



 4. Kashmir: present situation and future prospects (debate)CRE
Report on Kashmir: present situation and future prospects [2005/2242(INI)] - Committee on Foreign Affairs. Rapporteur: Nicholson of Winterbourne (A6-0158/2007)
Baroness Nicholson of Winterbourne introduced the report.
Benita Ferrero-Waldner (Member of the Commission) spoke.
The following spoke: Charles Tannock, on behalf of the PPE-DE Group, Jo Leinen, on behalf of the PSE Group, István Szent-Iványi, on behalf of the ALDE Group, Cem Özdemir, on behalf of the Verts/ALE Group, Erik Meijer, on behalf of the GUE/NGL Group, Bastiaan Belder, on behalf of the IND/DEM Group, Philip Claeys, on behalf of the ITS Group, James Elles, Richard Howitt, Sajjad Karim, Jean Lambert, David Casa, Neena Gill, Elizabeth Lynne, Bogusław Sonik, Inger Segelström and Dalia Grybauskaitė (Member of the Commission).
The debate closed.
Vote: Minutes of 24.05.2007, Item 9.3.

Last updated: 13 September 2007Legal notice"
"
Thursday, 24 May 2007 - Strasbourg",NA,"



 5. Via Baltica (debate) CRE
Commission statement: Via Baltica
Dalia Grybauskaitė (Member of the Commission) made the statement.
The following spoke: John Bowis, on behalf of the PPE-DE Group, Thijs Berman, on behalf of the PSE Group, Paweł Bartłomiej Piskorski, on behalf of the ALDE Group, and Roberts Zīle, on behalf of the UEN Group.
IN THE CHAIR: Diana WALLISVice-President
The following spoke: David Hammerstein, on behalf of the Verts/ALE Group, Erik Meijer, on behalf of the GUE/NGL Group, Johannes Blokland, on behalf of the IND/DEM Group, Bogusław Sonik, Andrzej Jan Szejna, Danutė Budreikaitė, Mirosław Mariusz Piotrowski, Stanisław Jałowiecki, Bogusław Liberadzki, Zdzisław Zbigniew Podkański, Barbara Kudrycka, Katrin Saks and Dalia Grybauskaitė.
The debate closed.

Last updated: 13 September 2007Legal notice"
"
Thursday, 24 May 2007 - Strasbourg",NA,"



 14. Debate on cases of breaches of human rights, democracy and the rule of law (debate)
(For the titles and authors of the motions for resolutions, see Minutes of 22.05.2007, Item 5)

Last updated: 13 September 2007Legal notice"
"
Wednesday, 23 May 2007 - Strasbourg",NA,"



 3. Roaming on public mobile networks ***I (debate)CRE
Report on the proposal for a regulation of the European Parliament and of the Council on roaming on public mobile networks within the Community and amending Directive 2002/21/EC on a common regulatory framework for electronic communications networks and services [COM(2006)0382 - C6-0244/2006 -  2006/0133(COD)] - Committee on Industry, Research and Energy. Rapporteur: Paul Rübig (A6-0155/2007)
Viviane Reding (Member of the Commission) spoke.
Paul Rübig introduced the report.
Joachim Wuermeling (President-in-Office of the Council) spoke.
The following spoke: Andrea Losco (draftsman of the opinion of the ECON Committee), Joseph Muscat (draftsman of the opinion of the IMCO Committee), Manolis Mavrommatis (draftsman of the opinion of the CULT Committee), Angelika Niebler, on behalf of the PPE-DE Group, Reino Paasilinna, on behalf of the PSE Group, Šarūnas Birutis, on behalf of the ALDE Group, Romano Maria La Russa, on behalf of the UEN Group, David Hammerstein, on behalf of the Verts/ALE Group, Umberto Guidoni, on behalf of the GUE/NGL Group, Nigel Farage, on behalf of the IND/DEM Group, Giles Chichester, Robert Goebbels, Toine Manders, Adam Bielan, Gisela Kallenbach, Miloslav Ransdorf and Gunnar Hökmark.
IN THE CHAIR: Luigi COCILOVOVice-President
The following spoke: Hannes Swoboda, Lena Ek, Roberts Zīle, Claude Turmes, Vittorio Agnoletto, Pilar del Castillo Vera, Andres Tarand, Alexander Alvaro, Alyn Smith, Ivo Belet, Evelyne Gebhardt, Anneli Jäätteenmäki, Herbert Reul, Arlene McCarthy, Karin Riis-Jørgensen, Marianne Thyssen, Eluned Morgan, Nikolaos Vakalis, Katerina Batzeli, Zita Pleštinská, Béatrice Patrie, Françoise Grossetête, Silvia-Adriana Ţicău, Jerzy Buzek, Dorette Corbey, Zuzana Roithová, Dariusz Rosati, Lambert van Nistelrooij, Mia De Vits, Werner Langen, Edit Herczog and Joachim Wuermeling.
IN THE CHAIR: Luisa MORGANTINIVice-President
The following spoke: Viviane Reding and Robert Goebbels.
The debate closed.
Vote: Minutes of 23.05.2007, Item 5.2.

Last updated: 4 July 2007Legal notice"
"
Wednesday, 23 May 2007 - Strasbourg",NA,"



 4. Decent work (debate)CRE
Report on promoting decent work for all [2006/2240(INI)] - Committee on Employment and Social Affairs. Rapporteur: Marie Panayotopoulos-Cassiotou (A6-0068/2007)
Marie Panayotopoulos-Cassiotou introduced the report.
Vladimír Špidla (Member of the Commission) spoke.
The following spoke: Feleknas Uca (draftsman of the opinion of the DEVE Committee), Harlem Désir (draftsman of the opinion of the INTA Committee), Philip Bushill-Matthews, on behalf of the PPE-DE Group, Stephen Hughes, on behalf of the PSE Group, Ona Juknevičienė, on behalf of the ALDE Group, Zdzisław Zbigniew Podkański, on behalf of the UEN Group, Sepp Kusstatscher, on behalf of the Verts/ALE Group, Kyriacos Triantaphyllides, on behalf of the GUE/NGL Group, Derek Roland Clark, on behalf of the IND/DEM Group, Cristian Stănescu, on behalf of the ITS Group, Alessandro Battilocchio, Non-attached Member, José Albino Silva Peneda, Anne Van Lancker, Marian Harkin, Ilda Figueiredo, Kathy Sinnott, Jean-Claude Martinez, Jan Andersson, Georgios Karatzaferis, Magda Kósáné Kovács, Ole Christensen and Vladimír Špidla.
The debate closed.
Vote: Minutes of 23.05.2007, Item 5.11.

Last updated: 4 July 2007Legal notice"
"
Wednesday, 23 May 2007 - Strasbourg",NA,"



 9. Debate on the future of Europe (debate)CRE
Debate on the future of Europe with Jan Peter Balkenende, Prime Minister of the Netherlands, Member of the European Council
The President made a brief statement to introduce the debate.
The following spoke: Jan Peter Balkenende, Prime Minister of the Netherlands.
The following spoke: Joseph Daul, on behalf of the PPE-DE Group, Martin Schulz, on behalf of the PSE Group, Graham Watson, on behalf of the ALDE Group, Brian Crowley, on behalf of the UEN Group, Kathalijne Maria Buitenweg, on behalf of the Verts/ALE Group, Erik Meijer, on behalf of the GUE/NGL Group, Bastiaan Belder, on behalf of the IND/DEM Group, Philip Claeys, on behalf of the ITS Group, Jim Allister, Non-attached Member, Jan Peter Balkenende, Maria Martens, Margrietus van den Berg, Andrew Duff, Konrad Szymański, Johannes Voggenhuber, Sylvia-Yvonne Kaufmann, Jens-Peter Bonde, Andreas Mölzer, Timothy Kirkhope, Richard Corbett, Jules Maaten, Guntars Krasts, Vladimír Remek, Nils Lundgren, Jean-Luc Dehaene, Enrique Barón Crespo, Sophia in 't Veld, Hanna Foltyn-Kubicka, Adrian Severin and Jan Peter Balkenende.
The debate closed.

Last updated: 4 July 2007Legal notice"
"
Wednesday, 23 May 2007 - Strasbourg",NA,"


IN THE CHAIR: Mechtild ROTHEVice-President

 10. Situation in Nigeria (debate) CRE
Council and Commission statements: Situation in Nigeria
Günter Gloser (President-in-Office of the Council) and Benita Ferrero-Waldner (Member of the Commission) made the statements.
The following spoke: Filip Kaczmarek, on behalf of the PPE-DE Group, Margrietus van den Berg, on behalf of the PSE Group, Johan Van Hecke, on behalf of the ALDE Group, Marie-Hélène Aubert, on behalf of the Verts/ALE Group, Vittorio Agnoletto, on behalf of the GUE/NGL Group, Bastiaan Belder, on behalf of the IND/DEM Group, Andreas Mölzer, on behalf of the ITS Group, Edward McMillan-Scott, Libor Rouček, Fiona Hall, Urszula Krupa, Bogusław Sonik, Pierre Schapira, Toomas Savi, Luís Queiró, Karin Scheele, András Gyürk, Ryszard Czarnecki, Günter Gloser and Benita Ferrero-Waldner.
Motion for a resolution tabled to wind up the debate pursuant to Rule 103(2):
- Filip Kaczmarek and Edward McMillan-Scott, on behalf of the PPE-DE Group, Margrietus van den Berg, John Attard-Montalto and Libor Rouček, on behalf of the PSE Group, Toomas Savi, Thierry Cornillet and Johan Van Hecke, on behalf of the ALDE Group, Ryszard Czarnecki, Eoin Ryan, Adam Bielan and Michał Tomasz Kamiński, on behalf of the UEN Group, Margrete Auken, on behalf of the Verts/ALE Group, and Vittorio Agnoletto, on behalf of the GUE/NGL Group, on the recent elections in Nigeria (B6-0201/2007).
The debate closed.
Vote: Minutes of 24.05.2007, Item 7.4.

Last updated: 4 July 2007Legal notice"
"
Wednesday, 23 May 2007 - Strasbourg",NA,"



 11. International Trade in Endangered Species of Wild Fauna and Flora (CITES) (debate) CRE
Oral question (O-0018/2007) by Miroslav Ouzký, on behalf of the ENVI Committee, to the Council: Key objectives for the Conference of the Parties to the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) to be held in The Hague on 3-15 June 2007 (B6-0020/2007)
Oral question (O-0019/2007) by Miroslav Ouzký, on behalf of the ENVI Committee, to the Commission: Key objectives for the Conference of the Parties to the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) to be held in The Hague on 3-15 June 2007 (B6-0121/2007)
Marie Anne Isler Béguin (deputising for the author) moved the oral questions.
IN THE CHAIR: Diana WALLISVice-President
Günter Gloser (President-in-Office of the Council) answered the question (B6-0020/2007).
Benita Ferrero-Waldner (Member of the Commission) answered the question (B6-0121/2007).
The following spoke: John Bowis, on behalf of the PPE-DE Group, Dorette Corbey, on behalf of the PSE Group, Mojca Drčar Murko, on behalf of the ALDE Group, Marie Anne Isler Béguin, on behalf of the Verts/ALE Group, Johannes Blokland, on behalf of the IND/DEM Group, Karin Scheele, Alfonso Andria and Benita Ferrero-Waldner.
Motion for a resolution to wind up the debate tabled pursuant to Rule 108(5):
- Miroslav Ouzký, on behalf of the ENVI Committee, on the EU strategic objectives for the 14th Meeting of the Conference of the Parties to the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES), be held in The Hague, 3-15 June 2007 (B6-0200/2007).
The debate closed.
Vote: Minutes of 24.05.2007, Item 7.5.

Last updated: 4 July 2007Legal notice"
"
Wednesday, 23 May 2007 - Strasbourg",NA,"


(The sitting was suspended at 19.05 and resumed at 21.00.) 
IN THE CHAIR: Edward McMILLAN-SCOTTVice-President

 13. Verification of the credentials of Mr Beniamino Donnici (debate)CRE
Report on the verification of the credentials of Mr Beniamino Donnici - Committee on Legal Affairs. Rapporteur: Giuseppe Gargani (A6-0198/2007)
Giuseppe Gargani introduced the report.
The following spoke: Manuel Medina Ortega, on behalf of the PSE Group, Luigi Cocilovo, on behalf of the ALDE Group, Salvatore Tatarella, on behalf of the UEN Group, and Nicola Zingaretti.
The debate closed.
Vote: Minutes of 24.05.2007, Item 7.3.

Last updated: 4 July 2007Legal notice"
"
Wednesday, 23 May 2007 - Strasbourg",NA,"



 14. Innovation Strategy (debate)CRE
Report on putting knowledge into practice: A broad-based innovation strategy for Europe (2006/2274(INI)) - Committee on Industry, Research and Energy. Rapporteur: Adam Gierek (A6-0159/2007)
Adam Gierek introduced the report.
Günter Verheugen (Vice-President of the Commission) spoke.
The following spoke: Sharon Bowles (draftsman of the opinion of the ECON Committee), Barbara Weiler (draftsman of the opinion of the IMCO Committee), Christa Prets (draftsman of the opinion of the REGI Committee), Jaroslav Zvěřina (draftsman of the opinion of the JURI Committee), Ján Hudacký, on behalf of the PPE-DE Group, Silvia-Adriana Ţicău, on behalf of the PSE Group, Patrizia Toia, on behalf of the ALDE Group, Mieczysław Edmund Janowski, on behalf of the UEN Group, David Hammerstein, on behalf of the Verts/ALE Group, Lambert van Nistelrooij, Gábor Harangozó, Šarūnas Birutis and Zbigniew Krzysztof Kuźmiuk.
IN THE CHAIR: Rodi KRATSA-TSAGAROPOULOUVice-President
The following spoke: Zita Pleštinská, Jorgo Chatzimarkakis and Jerzy Buzek.
The debate closed.
Vote: Minutes of 24.05.2007, Item 9.1.

Last updated: 4 July 2007Legal notice"
"
Wednesday, 23 May 2007 - Strasbourg",NA,"



 15. Tackling organised crime (debate)CRE
Report with a proposal for a European Parliament recommendation to the Council on developing a strategic concept on tackling organised crime [2006/2094(INI)] - Committee on Civil Liberties, Justice and Home Affairs. Rapporteur: Bill Newton Dunn (A6-0152/2007)
Bill Newton Dunn introduced the report.
Franco Frattini (Vice-President of the Commission) spoke.
The following spoke: Giuseppe Castiglione, on behalf of the PPE-DE Group, Magda Kósáné Kovács, on behalf of the PSE Group, Marios Matsakis, on behalf of the ALDE Group, Giusto Catania, on behalf of the GUE/NGL Group, Petre Popeangă, on behalf of the ITS Group, Jim Allister, Non-attached Member, Carlos Coelho and Adina-Ioana Vălean.
The debate closed.
Vote: Minutes of 24.05.2007, Item 9.2.

Last updated: 4 July 2007Legal notice"
"
Wednesday, 23 May 2007 - Strasbourg",NA,"



 16. Common organisation of agricultural markets * (debate)CRE
Report on the proposal for a Council regulation establishing a common organisation of agricultural markets and on specific provisions for certain agricultural products [COM(2006)0822 - C6-0045/2007 -  2006/0269(CNS)] - Committee on Agriculture and Rural Development. Rapporteur: Niels Busk (A6-0171/2007)
Benita Ferrero-Waldner (Member of the Commission) spoke.
IN THE CHAIR: Luisa MORGANTINIVice-President
Niels Busk introduced the report.
The following spoke: Agnes Schierhuber, on behalf of the PPE-DE Group, Luis Manuel Capoulas Santos, on behalf of the PSE Group, Zdzisław Zbigniew Podkański, on behalf of the UEN Group, Witold Tomczak, on behalf of the IND/DEM Group, Jim Allister, Non-attached Member, Czesław Adam Siekierski, James Nicholson, Bogdan Golik and Benita Ferrero-Waldner.
The debate closed.
Vote: Minutes of 24.05.2007, Item 7.1.

Last updated: 4 July 2007Legal notice"
"
Wednesday, 23 May 2007 - Strasbourg",NA,"



 17. Common organisation of the market in cereals * (debate)CRE
Report on the proposal for a Council regulation amending Regulation (EC) No 1784/2003 on the common organisation of the market in cereals [COM(2006)0755 - C6-0044/2007 - 2006/0256(CNS)] - Committee on Agriculture and Rural Development. Rapporteur: Béla Glattfelder (A6-0141/2007)
Benita Ferrero-Waldner (Member of the Commission) spoke.
Béla Glattfelder introduced the report.
The following spoke: James Nicholson, on behalf of the PPE-DE Group, Bogdan Golik, on behalf of the PSE Group, Leopold Józef Rutowicz, on behalf of the UEN Group, Czesław Adam Siekierski, Monica Maria Iacob-Ridzi and Benita Ferrero-Waldner.
The debate closed.
Vote: Minutes of 24.05.2007, Item 7.2.

Last updated: 4 July 2007Legal notice"
"
Tuesday, 22 May 2007 - Strasbourg",NA,"



 6. Global Europe - External aspects of competitiveness (debate)CRE
Report on Global Europe - external aspects of competitiveness [2006/2292(INI)] - Committee on International Trade. Rapporteur: Daniel Caspary (A6-0149/2007)
Daniel Caspary introduced the report.
Peter Mandelson (Member of the Commission) spoke.
The following spoke: Benoît Hamon (draftsman of the opinion of the ECON Committee), Syed Kamall, on behalf of the PPE-DE Group, Elisa Ferreira, on behalf of the PSE Group, Ignasi Guardans Cambó, on behalf of the ALDE Group, Konrad Szymański, on behalf of the UEN Group, Pierre Jonckheer, on behalf of the Verts/ALE Group, Helmuth Markov, on behalf of the GUE/NGL Group, Graham Booth, on behalf of the IND/DEM Group, Dumitru Gheorghe Mircea Coşea, on behalf of the ITS Group, Roger Helmer, Non-attached Member, Georgios Papastamkos, Erika Mann, Gianluca Susta, Seán Ó Neachtain, Jacky Henin, Bastiaan Belder, Jean-Marie Le Pen, Alessandro Battilocchio, Christofer Fjellner, Harlem Désir and Jan Tadeusz Masiel.
IN THE CHAIR: Adam BIELANVice-President
The following spoke: Tokia Saïfi, Carlos Carnero González, Zbigniew Krzysztof Kuźmiuk, Alexander Stubb, Kader Arif, Glyn Ford and Peter Mandelson.
The debate closed.
Vote: Minutes of 22.05.2007, Item 9.11.

Last updated: 4 July 2007Legal notice"
"
Tuesday, 22 May 2007 - Strasbourg",NA,"



 7. The EU's Aid for trade (debate)CRE
Report on the EU's Aid for trade [2006/2236(INI)] - Committee on International Trade. Rapporteur: David Martin (A6-0088/2007)
David Martin introduced the report.
Peter Mandelson (Member of the Commission) spoke.
The following spoke: Margrietus van den Berg (draftsman of the opinion of the DEVE Committee), Maria Martens, on behalf of the PPE-DE Group, Sajjad Karim, on behalf of the ALDE Group, Frithjof Schmidt, on behalf of the Verts/ALE Group, Zbigniew Zaleski, Gianluca Susta, Zdzisław Zbigniew Podkański, Georgios Papastamkos, Arūnas Degutis, Tokia Saïfi and Peter Mandelson.
IN THE CHAIR: Miguel Angel MARTÍNEZ MARTÍNEZVice-President
The debate closed.
Vote: Minutes of 23.05.2007, Item 5.8.

Last updated: 4 July 2007Legal notice"
"
Tuesday, 22 May 2007 - Strasbourg",NA,"



 8. Economic partnership agreements (debate)CRE
Report on Economic Partnership Agreements [2005/2246(INI)] - Committee on International Trade. Rapporteur: Robert Sturdy (A6-0084/2007)
Robert Sturdy introduced the report.
Peter Mandelson (Member of the Commission) spoke.
The following spoke: Jean-Pierre Audy, on behalf of the PPE-DE Group, Margrietus van den Berg, on behalf of the PSE Group, Sajjad Karim, on behalf of the ALDE Group, Leopold Józef Rutowicz, on behalf of the UEN Group, Frithjof Schmidt, on behalf of the Verts/ALE Group, Vittorio Agnoletto, on behalf of the GUE/NGL Group, Jerzy Buzek, Kader Arif, Johan Van Hecke, Carl Schlyter, Gabriele Zimmer, David Martin, Fiona Hall, Glenys Kinnock, Alain Hutchinson, Marie-Arlette Carlotti and Peter Mandelson.
The debate closed.
Vote: Minutes of 23.05.2007, Item 5.9.

Last updated: 4 July 2007Legal notice"
